nama_pos_pemadam,kotamadya,alamat,keterangan,jumlah
"Pos Joglo","Jakarta Barat","Komp. Pemadam, Jl. Raya Joglo","Personil - Group C","4"
"Pos Puri Indah","Jakarta Barat","Komp. Puri Indah, Jl. Puri Sakti","Personil - Group C","4"
"Kantor Sektor VII","Jakarta Barat","Komp. Palem Lestari","Personil - Group C","12"
"Pos Cengkareng","Jakarta Barat","Jl. Cendrawasih, Kel. Cengkareng Barat","Personil - Group C","4"
"Pos Rawa Buaya","Jakarta Barat","Jl. Hikmah, Kel. Rawa Buaya","Personil - Group C","4"
"Pos Kresek","Jakarta Barat","Jl. Nusa Indah, Kel. Duri Kosambi","Personil - Group C","4"
"Kantor Sektor VIII","Jakarta Barat","JL. Komp. Perumahan Citra Garden V","Personil - Group C","8"
"Pos Citra I","Jakarta Barat","Jl. Perum Citra Garden I kel. Pegadungan","Personil - Group C","4"
"Pos Citra II","Jakarta Barat","Jl. Komp. Citra Garden 2","Personil - Group C","5"
"Kantor Sudin Jakarta Selatan","Jakarta Selatan","JL.  Raya Pasar Jum'at - Pd. Pinang - Kebayoran Lama","Personil - Group C","45"
"Pos Kebayoran Baru","Jakarta Selatan","JL. Radio II Keramat Pela - Kebayoran Baru","Personil - Group C","5"
"Pos Tanah Kusir","Jakarta Selatan","JL. Ciputat Raya - Kebayoran Lama  Utara - Kebayoran Lama","Personil - Group C","5"
"Pos Grogol Utara","Jakarta Selatan","JL. Kebayoran Lama - Grogol Utara - Kebayoran Lama","Personil - Group C","5"
"Pos Mampang Prapatan","Jakarta Selatan","JL. Kapten Tendean - Kuningan Barat - Mampang Prapatan","Personil - Group C","5"
"Pos Walikota","Jakarta Selatan","JL. Prapanca Raya - Petogogan - Kebayoran Baru","Personil - Group C","5"
"Kantor Sektor Pesanggrahan","Jakarta Selatan","JL. Saidi - Pesanggrahan - Pesanggrahan","Personil - Group C","6"
